Date,Tmax_1,Tmin_1,Tavg_1,Tdepart,Tdew_point_1,Twet_bulb_1,HeatDegDay_1,CoolDegDay_1,Sunrise,Sunset,PrecipTotal_1,StnPressure_1,Wind_ResultSpeed_1,Wind_ResultDir_1,Wind_AvgSpeed_1,WeatherCode_BR_1,WeatherCode_DZ_1,WeatherCode_HZ_1,WeatherCode_NONE_1,WeatherCode_RA_1,WeatherCode_TS_1,WeatherCode_TSRA_1,Tmax_2,Tmin_2,Tavg_2,Tdew_point_2,Twet_bulb_2,HeatDegDay_2,CoolDegDay_2,PrecipTotal_2,StnPressure_2,Wind_ResultSpeed_2,Wind_ResultDir_2,Wind_AvgSpeed_2,WeatherCode_BR_2,WeatherCode_DZ_2,WeatherCode_HZ_2,WeatherCode_NONE_2,WeatherCode_RA_2,WeatherCode_TS_2,WeatherCode_TSRA_2
2007-05-11,70,51,61,4,42,51,4,0,436,1900,0.0,29.33,11.3,3,12.9,0,0,0,1,0,0,0,73,49,61,44,51,4,0,0.0,29.39,11.7,36,12.8,0,0,0,1,0,0,0
2007-05-12,64,46,55,-2,36,46,10,0,435,1901,0.0,29.49,12.4,3,12.9,0,0,0,1,0,0,0,65,47,56,37,46,9,0,0.0,29.54,12.7,1,13.0,0,0,0,1,0,0,0
2007-05-13,69,43,56,-2,33,46,9,0,434,1902,0.0,29.49,6.6,14,8.1,0,0,0,1,0,0,0,69,44,57,32,46,8,0,0.0,29.55,6.4,11,7.6,0,0,0,1,0,0,0
2007-05-14,90,56,73,15,47,59,0,8,433,1903,0.0,29.23,16.9,21,17.3,0,0,0,1,0,0,0,90,54,72,45,58,0,7,0.0,29.31,14.1,21,14.6,0,0,0,1,0,0,0
2007-05-15,80,57,69,11,56,61,0,4,432,1904,0.38,29.13,8.1,27,12.3,1,0,0,0,1,0,0,82,56,69,56,61,0,4,0.6,29.19,8.1,25,10.8,1,0,0,0,1,0,1
2007-05-16,66,44,55,-4,43,48,10,0,431,1905,0.14,29.33,7.8,36,12.2,1,0,0,0,1,0,0,64,45,55,42,47,10,0,0.07,29.39,8.0,36,11.8,1,0,0,0,1,0,0
2007-05-17,62,43,53,-6,32,43,12,0,430,1906,0.0,29.55,10.5,3,11.3,0,0,0,1,0,0,0,61,44,53,32,43,12,0,0.0,29.62,11.7,1,12.2,0,0,0,1,0,0,0
2007-05-18,71,42,57,-3,30,46,8,0,429,1907,0.0,29.53,5.4,25,7.5,0,0,0,1,0,0,0,70,43,57,31,47,8,0,0.0,29.6,3.4,22,5.5,0,0,0,1,0,0,0
2007-05-19,80,56,68,8,39,53,0,3,428,1908,0.0,29.34,11.1,24,11.4,0,0,0,1,0,0,0,80,56,68,37,53,0,3,0.0,29.41,11.1,23,11.4,0,0,0,1,0,0,0
2007-05-20,69,43,56,-5,40,44,9,0,427,1909,0.07,29.38,10.4,4,10.7,0,0,0,0,1,0,0,69,44,57,41,45,8,0,0.11,29.44,8.6,3,9.7,0,0,0,0,1,0,1
2007-05-21,80,44,62,1,50,56,3,0,426,1910,0.0,29.33,6.3,11,8.2,0,0,0,1,0,0,0,79,46,63,50,57,2,0,0.0,29.39,6.3,10,7.8,0,0,0,1,0,0,0
2007-05-22,87,55,71,10,46,58,0,6,425,1911,0.0,29.34,10.0,18,10.2,0,0,0,1,0,0,0,87,60,74,44,58,0,9,0.0,29.41,10.1,16,10.6,0,0,0,1,0,0,0
2007-05-23,89,60,75,14,49,61,0,10,425,1912,0.0,29.39,11.4,19,11.8,0,0,0,1,0,0,0,89,66,78,48,61,0,13,0.0,29.47,10.9,18,11.2,0,0,0,1,0,0,0
2007-05-24,88,63,76,14,54,63,0,11,424,1913,0.02,29.41,14.9,21,17.3,0,0,1,0,1,0,0,88,66,77,53,63,0,12,0.005,29.47,13.8,20,15.2,0,0,1,0,1,0,0
2007-05-25,70,56,63,1,44,53,2,0,423,1914,0.005,29.51,4.9,5,8.8,0,0,0,1,0,0,0,66,57,62,46,53,3,0,0.09,29.57,4.5,5,8.2,1,0,0,0,1,0,0
2007-05-26,65,49,57,-5,55,56,8,0,422,1915,1.01,29.36,2.8,17,7.2,1,0,1,0,1,0,1,70,50,60,55,57,5,0,0.28,29.42,2.5,15,7.8,1,0,0,0,1,0,1
2007-05-27,75,57,66,4,47,56,0,1,422,1916,0.04,29.34,8.9,26,9.5,1,0,0,0,1,0,0,75,59,67,49,57,0,2,0.08,29.41,8.2,24,9.2,1,0,0,0,1,0,0
2007-05-28,79,50,65,2,47,56,0,0,421,1916,0.005,29.43,4.8,10,5.3,0,0,0,0,1,0,0,76,54,65,49,57,0,0,0.0,29.49,4.7,8,5.2,0,0,0,1,0,0,0
2007-05-29,88,60,74,10,58,65,0,9,421,1917,0.0,29.39,5.8,18,6.5,1,0,1,0,0,0,0,88,65,77,59,66,0,12,0.0,29.44,5.8,16,7.4,1,0,1,0,0,0,0
2007-05-30,87,66,77,13,58,65,0,12,420,1918,0.0,29.31,10.3,19,10.6,0,0,1,0,0,0,0,89,70,80,57,66,0,15,0.0,29.38,9.7,17,10.1,0,0,1,0,0,0,0
2007-05-31,78,65,72,8,61,65,0,7,420,1919,0.01,29.28,9.3,19,9.9,0,0,1,0,1,0,0,80,68,74,61,66,0,9,0.53,29.34,8.9,18,9.2,1,0,0,0,1,0,0
2007-06-01,85,62,74,10,63,66,0,9,419,1920,0.19,29.19,4.2,17,6.4,1,0,1,0,0,0,1,86,67,77,63,67,0,12,0.21,29.25,4.7,16,5.8,1,0,1,0,0,0,1
2007-06-02,81,65,73,9,63,67,0,8,419,1920,0.04,29.03,6.5,22,7.4,1,0,0,0,1,0,0,81,68,75,62,67,0,10,0.005,29.1,7.5,21,8.2,1,0,0,0,1,0,0
2007-06-03,78,62,70,6,60,63,0,5,418,1921,0.01,28.82,5.2,25,6.7,1,0,1,0,1,0,1,77,64,71,60,64,0,6,0.32,28.87,4.9,24,7.2,1,0,1,0,1,0,0
2007-06-04,71,58,65,1,58,60,0,0,418,1922,0.39,28.82,7.8,31,9.7,1,0,0,0,1,0,1,72,56,64,57,60,1,0,0.31,28.88,7.9,30,10.1,1,0,0,0,1,0,0
2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,5.2,5,7.6,1,0,0,0,1,0,0,63,51,57,47,52,8,0,0.27,29.16,6.2,3,8.1,1,0,0,0,1,0,0
2007-06-06,71,44,58,-8,48,55,7,0,417,1923,0.01,29.07,10.8,17,11.4,0,0,0,0,1,0,0,73,48,61,47,55,4,0,0.005,29.13,9.6,15,10.6,0,0,0,0,1,0,0
2007-06-07,91,71,81,15,62,69,0,16,417,1924,0.0,28.84,22.7,20,23.1,0,0,0,1,0,0,0,92,71,82,61,68,0,17,0.0,28.91,20.3,19,20.7,0,0,0,1,0,0,0
2007-06-08,81,57,69,3,53,61,0,4,417,1925,0.0,29.18,10.9,28,13.8,0,0,0,1,0,0,0,81,63,72,54,62,0,7,0.0,29.24,9.3,26,12.4,0,0,0,1,0,0,0
2007-06-09,79,52,66,0,47,57,0,1,416,1925,0.0,29.36,0.3,33,5.0,0,0,0,1,0,0,0,79,57,68,49,58,0,3,0.0,29.42,2.4,19,4.7,0,0,0,1,0,0,0
2007-06-10,81,55,68,1,51,59,0,3,416,1926,0.0,29.34,4.8,17,5.6,0,0,0,1,0,0,0,81,61,71,50,60,0,6,0.0,29.39,4.6,16,5.8,0,0,0,1,0,0,0
2007-06-11,86,58,72,5,52,61,0,7,416,1926,0.0,29.41,4.9,11,6.9,0,0,0,1,0,0,0,85,65,75,51,61,0,10,0.0,29.47,6.6,9,8.4,0,0,0,1,0,0,0
2007-06-12,83,62,73,5,50,60,0,8,416,1927,0.0,29.44,8.3,5,8.8,0,0,0,1,0,0,0,82,66,74,51,61,0,9,0.0,29.49,9.4,5,10.0,0,0,0,1,0,0,0
2007-06-13,87,60,74,6,53,62,0,9,416,1927,0.0,29.36,7.2,5,8.6,0,0,0,1,0,0,0,86,68,77,53,62,0,12,0.0,29.31,7.0,5,8.6,0,0,0,1,0,0,0
2007-06-14,89,64,77,9,55,64,0,12,416,1928,0.0,29.3,5.6,5,6.8,0,0,0,1,0,0,0,89,68,79,54,63,0,14,0.0,29.36,5.9,7,6.4,0,0,0,1,0,0,0
2007-06-15,91,63,77,9,56,64,0,12,416,1928,0.0,29.28,4.1,6,4.9,0,0,0,1,0,0,0,89,67,78,56,65,0,13,0.0,29.34,3.8,9,4.1,0,0,0,1,0,0,0
2007-06-16,93,66,80,11,60,67,0,15,416,1929,0.005,29.26,4.8,28,5.8,0,0,1,0,1,0,0,92,68,80,61,68,0,15,0.005,29.33,2.1,22,6.1,0,0,1,0,0,0,0
2007-06-17,91,70,81,12,64,70,0,16,416,1929,0.0,29.23,2.8,11,6.3,0,0,1,0,0,0,0,91,71,81,65,70,0,16,0.16,29.28,4.0,11,6.1,0,0,1,0,0,0,0
2007-06-18,89,69,79,9,65,70,0,14,416,1929,0.28,29.12,14.0,20,15.1,0,0,1,0,1,0,1,89,73,81,65,70,0,16,0.02,29.19,12.2,20,12.6,0,0,1,0,1,0,1
2007-06-19,80,65,73,3,55,63,0,8,416,1930,0.58,29.26,10.7,28,11.4,0,0,0,0,1,0,0,81,65,73,55,63,0,8,0.93,29.31,10.1,29,11.3,1,0,0,0,1,0,0
2007-06-20,84,61,73,3,52,61,0,8,416,1930,0.0,29.39,7.8,27,8.8,0,0,0,1,0,0,0,85,62,74,50,61,0,9,0.0,29.46,5.9,28,7.7,0,0,0,1,0,0,0
2007-06-21,77,61,69,-1,51,60,0,4,416,1930,0.01,29.36,3.5,3,10.7,0,0,0,0,1,0,0,80,66,73,51,61,0,8,0.005,29.41,3.7,2,9.6,0,0,0,0,1,0,0
2007-06-22,76,61,69,-1,50,58,0,4,417,1931,0.005,29.33,7.8,6,8.7,0,0,0,0,1,0,0,75,62,69,49,58,0,4,0.005,29.39,6.5,7,8.1,0,0,0,0,1,0,0
2007-06-23,67,62,65,-5,58,61,0,0,417,1931,0.05,29.23,7.6,12,9.0,1,0,0,0,1,0,0,68,61,65,60,62,0,0,0.34,29.28,7.3,11,8.1,1,0,0,0,1,0,0
2007-06-24,77,63,70,-1,62,65,0,5,417,1931,0.0,29.26,7.0,9,8.0,1,0,1,0,0,0,0,75,65,70,62,65,0,5,0.0,29.33,5.6,10,6.0,1,0,1,0,0,0,0
2007-06-25,89,65,77,6,66,70,0,12,417,1931,0.0,29.38,3.9,14,6.8,1,0,1,0,0,0,0,86,67,77,67,70,0,12,0.0,29.44,4.0,12,5.9,1,0,1,0,0,0,0
2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,6.1,22,7.1,1,0,1,0,0,0,1,91,73,82,69,72,0,17,0.005,29.45,7.3,21,8.1,1,0,1,0,0,0,0
2007-06-27,91,71,81,10,70,72,0,16,418,1931,0.15,29.29,7.5,24,8.8,0,0,0,0,0,0,1,89,71,80,69,72,0,15,0.35,29.36,7.9,24,8.5,1,0,0,0,1,0,1
2007-06-28,74,58,66,-5,55,60,0,1,419,1931,0.0,29.41,11.9,3,12.5,0,0,0,1,0,0,0,73,61,67,56,61,0,2,0.0,29.43,12.2,2,13.3,0,0,0,1,0,0,0
2007-06-29,70,56,63,-8,55,59,2,0,419,1931,0.0,29.41,7.6,2,8.3,0,0,0,1,0,0,0,71,56,64,56,60,1,0,0.0,29.47,7.4,2,8.2,0,0,0,1,0,0,0
2007-06-30,79,54,67,-5,46,56,0,2,419,1931,0.0,29.41,4.9,3,5.8,0,0,0,1,0,0,0,77,58,68,49,58,0,3,0.0,29.46,5.1,4,6.2,0,0,0,1,0,0,0
2007-07-01,75,54,65,-7,52,58,0,0,420,1931,0.0,29.51,8.6,4,8.6,0,0,0,1,0,0,0,76,61,69,51,59,0,4,0.0,29.56,9.5,4,9.7,0,0,0,1,0,0,0
2007-07-02,79,53,66,-6,50,58,0,1,420,1931,0.0,29.49,5.9,14,8.1,0,0,0,1,0,0,0,77,58,68,50,59,0,3,0.0,29.55,7.4,12,8.5,0,0,0,1,0,0,0
2007-07-03,83,60,72,0,57,63,0,7,421,1931,0.4,29.31,6.7,21,7.3,1,0,0,0,1,0,1,83,63,73,56,63,0,8,0.09,29.38,6.4,21,7.4,0,0,0,0,1,0,1
2007-07-04,86,67,77,5,65,69,0,12,422,1930,0.16,29.18,4.6,27,8.2,1,0,1,0,0,0,1,84,67,76,65,69,0,11,0.66,29.23,3.1,25,8.8,0,0,1,0,1,0,1
2007-07-05,89,71,80,8,60,67,0,15,422,1930,0.0,29.24,6.4,31,8.1,1,0,1,0,0,0,0,88,70,79,60,67,0,14,0.0,29.29,4.3,33,6.9,1,0,0,0,0,0,0
2007-07-06,86,66,76,4,57,64,0,11,423,1930,0.0,29.32,3.2,5,5.5,0,0,0,1,0,0,0,84,68,76,57,65,0,11,0.0,29.38,3.3,7,5.5,0,0,0,1,0,0,0
2007-07-07,90,64,77,5,63,69,0,12,423,1930,0.0,29.18,8.4,22,8.6,0,0,0,1,0,0,0,88,68,78,62,68,0,13,0.0,29.24,7.4,23,8.1,0,0,0,1,0,0,0
2007-07-08,94,75,85,12,67,72,0,20,424,1929,0.0,29.05,12.9,24,13.1,0,0,0,1,0,0,0,93,75,84,67,72,0,19,0.0,29.12,12.6,23,12.7,0,0,0,1,0,0,0
2007-07-09,94,70,82,9,66,70,0,17,425,1929,0.3,29.11,4.9,24,8.8,0,0,0,0,1,0,1,93,72,83,67,71,0,18,0.24,29.16,4.8,23,8.8,0,0,0,0,1,0,0
2007-07-10,89,69,79,6,67,70,0,14,425,1929,0.43,29.06,8.6,23,10.5,0,0,1,0,0,0,0,89,70,80,67,71,0,15,0.08,29.13,8.2,23,10.2,0,0,1,0,0,0,1
2007-07-11,77,62,70,-3,51,59,0,5,426,1928,0.0,29.23,8.8,30,10.9,0,0,0,1,0,0,0,77,63,70,51,59,0,5,0.0,29.28,9.1,30,11.2,0,0,0,1,0,0,0
2007-07-12,80,61,71,-2,51,59,0,6,427,1928,0.0,29.22,9.4,29,11.1,0,0,0,1,0,0,0,80,60,70,51,60,0,5,0.0,29.28,10.0,28,11.4,0,0,0,0,0,0,0
2007-07-13,78,58,68,-5,52,58,0,3,428,1927,0.0,29.26,1.4,1,5.3,0,0,0,1,0,0,0,74,59,67,53,59,0,2,0.0,29.33,2.0,7,5.8,0,0,0,1,0,0,0
2007-07-14,84,61,73,0,55,62,0,8,428,1927,0.0,29.08,8.3,26,13.2,0,0,0,1,0,0,0,85,62,74,55,62,0,9,0.0,29.14,8.4,25,13.9,0,0,0,1,0,0,0
2007-07-15,82,60,71,-3,53,61,0,6,429,1926,0.0,29.19,2.1,29,4.9,0,0,0,1,0,0,0,80,64,72,52,61,0,7,0.0,29.25,1.2,9,6.5,0,0,0,1,0,0,0
2007-07-16,82,65,74,0,60,65,0,9,430,1925,0.39,29.25,4.4,24,5.2,1,0,0,0,1,0,0,82,66,74,60,65,0,9,0.07,29.31,5.6,23,6.6,0,0,0,0,1,0,1
2007-07-17,83,68,76,2,66,69,0,11,431,1925,0.11,29.18,5.2,23,6.5,1,0,0,0,1,0,0,83,69,76,65,69,0,11,0.11,29.24,6.3,23,7.4,1,0,0,0,1,0,0
2007-07-18,85,69,77,3,68,71,0,12,432,1924,1.55,29.11,9.1,24,10.1,1,0,0,0,1,0,1,85,69,77,69,71,0,12,0.92,29.18,10.3,24,10.6,1,0,1,0,1,1,1
2007-07-19,83,63,73,-1,63,66,0,8,433,1923,0.16,29.21,7.0,1,11.9,1,1,0,0,0,0,0,82,63,73,62,66,0,8,0.01,29.26,7.7,36,14.4,1,0,1,0,0,0,0
2007-07-20,75,58,67,-7,53,59,0,2,433,1923,0.0,29.44,8.6,3,9.1,0,0,0,1,0,0,0,74,62,68,52,59,0,3,0.0,29.49,11.3,4,11.5,0,0,0,1,0,0,0
2007-07-21,74,58,66,-8,52,58,0,1,434,1922,0.0,29.51,6.5,3,7.4,0,0,0,1,0,0,0,75,58,67,52,59,0,2,0.0,29.57,5.8,4,7.4,0,0,0,1,0,0,0
2007-07-22,81,58,70,-4,55,61,0,5,435,1921,0.0,29.49,1.7,16,3.3,0,0,0,1,0,0,0,81,61,71,54,61,0,6,0.0,29.54,1.9,18,3.5,0,0,0,1,0,0,0
2007-07-23,83,60,72,-2,55,63,0,7,436,1920,0.0,29.37,3.2,9,4.0,0,0,0,1,0,0,0,82,63,73,55,63,0,8,0.0,29.42,2.9,12,3.9,0,0,0,1,0,0,0
2007-07-24,82,65,74,0,58,64,0,9,437,1919,0.0,29.32,3.1,20,5.2,0,0,0,1,0,0,0,82,65,74,57,64,0,9,0.005,29.38,1.1,21,4.9,0,0,0,1,0,0,0
2007-07-25,85,71,78,4,61,67,0,13,438,1918,0.005,29.29,5.8,25,6.6,0,0,0,1,0,0,0,83,70,77,60,66,0,12,0.0,29.35,6.4,23,7.0,0,0,0,1,0,0,0
2007-07-26,83,66,75,1,65,68,0,10,439,1918,0.19,29.19,7.2,22,9.4,1,0,1,0,1,1,1,84,64,74,65,68,0,9,0.89,29.25,7.2,22,9.9,1,0,1,0,0,1,1
2007-07-27,83,70,77,3,68,70,0,12,440,1917,0.17,29.11,3.0,3,7.9,1,0,1,0,1,0,0,83,70,77,67,70,0,12,0.04,29.16,1.2,36,8.1,1,0,1,0,1,0,0
2007-07-28,80,66,73,-1,65,68,0,8,441,1916,0.0,29.23,10.0,3,10.2,1,0,1,0,0,0,0,80,70,75,65,68,0,10,0.0,29.28,10.6,3,10.7,1,0,1,0,0,0,0
2007-07-29,85,63,74,0,57,64,0,9,442,1915,0.0,29.28,4.8,5,5.7,0,0,0,1,0,0,0,85,67,76,56,64,0,11,0.0,29.34,6.3,5,6.9,0,0,0,1,0,0,0
2007-07-30,89,62,76,2,55,64,0,11,443,1914,0.0,29.33,3.8,6,4.3,0,0,0,1,0,0,0,86,65,76,57,65,0,11,0.0,29.39,3.1,6,4.6,0,0,0,1,0,0,0
2007-07-31,91,68,80,6,61,68,0,15,444,1913,0.0,29.33,3.3,4,4.9,0,0,0,1,0,0,0,89,69,79,60,68,0,14,0.0,29.39,4.0,7,5.0,0,0,0,1,0,0,0
2007-08-01,92,69,81,8,62,69,0,16,445,1911,0.0,29.29,3.5,9,4.1,0,0,1,0,0,0,0,91,69,80,63,70,0,15,0.0,29.34,2.1,13,3.7,0,0,0,1,0,0,0
2007-08-02,91,70,81,8,66,71,0,16,446,1910,0.0,29.26,5.5,26,5.9,0,0,1,0,0,0,0,91,73,82,66,72,0,17,0.0,29.31,6.5,23,7.2,0,0,0,1,0,0,0
2007-08-03,90,69,80,7,56,66,0,15,447,1909,0.0,29.31,2.7,3,5.7,0,0,0,1,0,0,0,88,73,81,58,67,0,16,0.0,29.36,3.3,6,5.8,0,0,0,1,0,0,0
2007-08-04,81,64,73,0,58,64,0,8,448,1908,0.03,29.31,5.7,8,6.1,0,0,0,0,1,0,0,81,68,75,58,65,0,10,0.02,29.36,5.9,9,6.6,0,0,0,0,1,0,0
2007-08-05,88,67,78,5,71,73,0,13,449,1907,1.43,29.08,5.4,21,9.6,1,0,1,0,1,0,1,88,68,78,71,72,0,13,0.97,29.15,7.0,22,10.2,1,0,0,0,1,0,1
2007-08-06,88,74,81,8,72,74,0,16,450,1906,0.26,29.13,1.6,10,4.9,1,0,1,0,1,0,1,85,75,80,72,74,0,15,0.05,29.17,2.6,10,4.6,1,0,1,0,0,1,1
2007-08-07,91,72,82,9,73,76,0,17,451,1904,1.31,29.06,6.2,25,9.0,1,0,0,0,1,0,0,92,73,83,73,76,0,18,0.06,29.11,6.3,24,8.8,0,0,0,0,0,0,0
2007-08-08,87,73,80,7,71,73,0,15,452,1903,0.06,29.13,3.0,3,6.9,1,0,0,0,1,0,1,87,74,81,72,74,0,16,0.09,29.18,1.5,4,6.4,1,1,1,0,1,0,1
2007-08-09,84,72,78,5,71,73,0,13,453,1902,0.05,29.13,2.5,29,6.0,0,0,0,0,1,0,1,85,73,79,71,73,0,14,0.46,29.19,3.1,27,6.3,1,0,1,0,0,0,1
2007-08-10,86,70,78,5,68,72,0,13,454,1900,0.0,29.26,4.5,2,5.9,1,0,0,0,0,0,0,86,73,80,69,72,0,15,0.0,29.32,3.0,6,5.4,0,0,0,1,0,0,0
2007-08-11,89,67,78,5,65,70,0,13,455,1859,0.0,29.31,3.2,19,3.9,1,0,1,0,0,0,0,88,68,78,65,70,0,13,0.0,29.38,3.1,20,3.9,1,0,1,0,0,0,0
2007-08-12,88,67,78,5,67,71,0,13,456,1858,0.29,29.34,1.7,6,5.4,0,0,0,0,0,0,1,87,68,78,67,70,0,13,0.23,29.4,1.9,6,6.6,0,0,0,0,0,0,1
2007-08-13,81,65,73,0,57,64,0,8,457,1856,0.0,29.39,6.2,6,6.9,1,0,0,0,0,0,0,80,69,75,54,63,0,10,0.0,29.44,6.9,8,7.7,0,0,0,1,0,0,0
2007-08-14,84,65,75,3,67,70,0,10,458,1855,0.41,29.23,5.9,25,8.0,1,0,0,0,1,1,1,84,65,75,66,69,0,10,0.45,29.29,6.4,23,9.0,1,0,0,0,1,0,1
2007-08-15,80,71,76,4,67,70,0,11,459,1854,0.23,29.17,3.4,7,5.8,1,0,0,0,1,0,1,81,72,77,69,71,0,12,0.83,29.23,4.9,6,7.1,1,0,0,0,1,1,1
2007-08-16,77,65,71,-1,64,67,0,6,500,1852,0.0,29.28,3.6,1,5.7,1,0,0,0,0,0,0,77,67,72,65,68,0,7,0.0,29.33,3.5,1,5.7,1,0,0,0,0,0,0
2007-08-17,79,60,70,-2,54,61,0,5,501,1851,0.0,29.41,5.9,32,6.8,0,0,0,1,0,0,0,80,65,73,54,62,0,8,0.0,29.46,6.1,31,7.4,0,0,0,1,0,0,0
2007-08-18,68,59,64,-8,54,58,1,0,502,1849,0.09,29.44,6.4,12,8.1,0,0,0,0,1,0,0,69,60,65,54,58,0,0,0.42,29.48,6.1,13,7.0,0,0,0,0,1,0,0
2007-08-19,68,62,65,-6,62,64,0,0,503,1848,1.33,29.24,6.0,10,7.4,1,0,0,0,1,1,0,69,62,66,63,64,0,1,1.33,29.3,5.5,10,7.5,1,0,0,0,1,1,0
2007-08-20,78,68,73,2,68,69,0,8,504,1846,0.91,29.15,0.5,12,5.7,1,0,0,0,1,0,1,76,68,72,69,70,0,7,0.48,29.21,2.4,20,5.9,1,0,1,0,1,1,1
2007-08-21,87,69,78,7,70,72,0,13,505,1845,0.005,29.21,3.8,18,6.0,1,0,1,0,0,0,0,85,69,77,70,72,0,12,0.01,29.26,3.5,17,6.0,1,0,0,0,0,0,0
2007-08-22,90,69,80,9,71,73,0,15,506,1843,0.37,29.23,5.3,21,9.5,0,0,0,0,1,1,1,90,70,80,70,73,0,15,0.88,29.29,5.1,21,8.4,1,0,0,0,1,0,1
2007-08-23,87,69,78,7,69,71,0,13,508,1842,2.35,29.15,9.6,21,11.7,1,0,0,0,1,1,1,89,70,80,69,71,0,15,1.96,29.21,6.7,21,9.1,1,0,0,0,0,1,1
2007-08-24,80,69,75,4,67,69,0,10,509,1840,0.24,29.11,5.8,25,7.1,0,0,0,0,1,0,1,81,69,75,67,69,0,10,0.2,29.16,5.5,25,7.3,1,0,0,0,1,1,1
2007-08-25,79,64,72,2,63,66,0,7,510,1839,0.34,29.23,3.0,36,5.6,0,0,0,0,1,0,0,76,65,71,63,66,0,6,0.25,29.29,2.4,3,6.4,1,0,0,0,1,0,0
2007-08-26,79,60,70,0,55,61,0,5,511,1837,0.0,29.38,3.6,11,5.4,0,0,0,1,0,0,0,78,61,70,55,62,0,5,0.0,29.44,3.7,11,4.6,0,0,0,1,0,0,0
2007-08-27,79,60,70,0,60,64,0,5,512,1835,0.0,29.36,6.5,17,7.4,0,0,0,1,0,0,0,79,63,71,59,64,0,6,0.0,29.41,6.4,16,7.3,0,0,0,1,0,0,0
2007-08-28,91,67,79,9,66,70,0,14,513,1834,0.0,29.28,9.0,20,9.5,0,0,0,1,0,0,0,90,69,80,65,70,0,15,0.0,29.34,7.8,21,8.3,0,0,0,1,0,0,0
2007-08-29,85,68,77,7,65,69,0,12,514,1832,0.005,29.34,5.6,3,8.2,0,0,0,1,0,0,0,86,69,78,64,69,0,13,0.005,29.39,5.3,3,8.8,0,0,0,1,0,0,0
2007-08-30,75,57,66,-4,54,60,0,1,515,1831,0.0,29.47,9.1,2,9.9,0,0,0,1,0,0,0,75,60,68,54,61,0,3,0.0,29.51,10.8,3,10.9,0,0,0,1,0,0,0
2007-08-31,77,57,67,-2,52,59,0,2,516,1829,0.0,29.47,3.9,4,5.2,0,0,0,1,0,0,0,76,57,67,54,60,0,2,0.0,29.52,3.0,6,4.6,0,0,0,1,0,0,0
